s_lo,s_hi,N_enc,Dn,EB,beta_med,mag_frac
0.0,0.05,639,0.1463,2.6013,0.1487,0.7558
0.05,0.1,675,0.4592,2.4184,0.2216,0.4217
0.1,0.15,702,0.795,2.1419,0.5912,0.0822
0.15,0.2,719,0.9013,1.957,0.9106,0.0
0.2,0.3,792,1.0401,1.6714,1.7414,0.0
0.3,0.4,867,1.0961,1.4092,2.74,0.0
0.4,0.5,942,1.0993,1.2852,3.5652,0.0
0.5,0.6,1012,1.0639,1.1603,4.2433,0.0
0.6,0.8,1120,1.0,1.0,4.938,0.0
0.8,1.0,673,0.9559,0.9473,4.8814,0.0
