s_lo,s_hi,N_enc,Dn,EB,beta_med,mag_frac
0.0,0.05,168,0.0762,2.7114,0.1366,0.8915
0.05,0.1,173,0.2756,2.4926,0.1979,0.5
0.1,0.15,183,0.5037,2.3675,0.2741,0.2414
0.15,0.2,192,0.7979,2.0257,0.6596,0.0026
0.2,0.3,208,0.9417,1.7419,1.4184,0.0
0.3,0.4,223,1.0238,1.4402,2.7598,0.0
0.4,0.5,245,1.0284,1.251,3.7066,0.0
0.5,0.6,261,1.0151,1.1478,4.2574,0.0
0.6,0.8,291,1.0,1.0,5.3523,0.0
0.8,1.0,177,0.964,0.9589,6.0964,0.0
