encounter_id,probe,date,Dn_1d,Dn_radial,Dn_shift,EB_1d,EB_radial
2008-09-05_thc,thc,2008-09-05,0.194800,0.289300,0.094500,3.440300,3.098300
2008-09-07_thc,thc,2008-09-07,0.761300,3.833900,3.072600,12.211700,4.590800
2008-09-08_thc,thc,2008-09-08,3.326500,3.870300,0.543800,6.561700,5.821000
2008-09-09_thb,thb,2008-09-09,0.489300,3.756600,3.267300,17.301500,7.517500
2008-09-06_thc,thc,2008-09-06,4.221700,4.211300,-0.010400,6.033300,6.090800
2008-09-10_thc,thc,2008-09-10,0.037900,0.122500,0.084600,4.170900,3.187000
2008-09-09_thc,thc,2008-09-09,0.258800,1.401700,1.142900,5.794900,1.950600
2008-09-12_thb,thb,2008-09-12,0.053500,1.178800,1.125300,7.036200,4.344300
2008-09-04_thc,thc,2008-09-04,0.515000,0.499600,-0.015400,10.670700,10.730700
2008-09-13_thb,thb,2008-09-13,0.060000,0.512900,0.452900,5.814000,3.432100
2008-09-14_the,the,2008-09-14,3.587400,3.426900,-0.160500,2.090900,2.535900
2008-09-14_thd,thd,2008-09-14,4.590900,5.479800,0.888900,2.598200,2.722100
2008-09-16_thb,thb,2008-09-16,0.550800,5.512400,4.961600,17.150700,6.178300
2008-09-14_thc,thc,2008-09-14,0.420100,4.376900,3.956800,9.702800,2.908100
2008-09-18_thc,thc,2008-09-18,0.117800,0.878100,0.760300,6.002100,2.667900
2008-09-16_thc,thc,2008-09-16,0.500200,1.126000,0.625800,5.377300,1.714100
2008-09-15_thc,thc,2008-09-15,0.282900,3.848100,3.565200,11.191000,2.551500
2008-09-20_thb,thb,2008-09-20,0.136600,2.370700,2.234100,15.069200,4.255100
2008-09-20_thc,thc,2008-09-20,0.068400,0.924100,0.855700,4.372200,1.645100
2008-09-21_thb,thb,2008-09-21,0.074900,1.045400,0.970500,6.530800,1.770300
2008-09-17_thb,thb,2008-09-17,0.359700,1.189300,0.829600,6.004900,1.647100
2008-09-24_thb,thb,2008-09-24,0.018100,0.823500,0.805400,5.348100,1.843100
2008-09-25_thb,thb,2008-09-25,0.018000,0.814500,0.796500,5.357800,1.842900
2008-09-29_thb,thb,2008-09-29,0.025400,0.985400,0.960000,5.262800,1.526800
2008-09-30_thc,thc,2008-09-30,0.072500,1.118400,1.045900,3.802800,0.966300
2008-09-28_thb,thb,2008-09-28,0.025700,0.962900,0.937200,4.734600,1.646300
2009-07-23_thc,thc,2009-07-23,0.553500,0.911500,0.358000,4.383400,1.759600
2009-07-25_thb,thb,2009-07-25,3.923900,4.002400,0.078500,4.739800,4.700200
2009-07-13_thb,thb,2009-07-13,0.151500,1.300600,1.149100,16.454800,0.887600
2009-07-17_thb,thb,2009-07-17,0.062000,0.782600,0.720600,7.282300,3.102500
2009-07-21_thb,thb,2009-07-21,6.058700,6.126000,0.067300,5.652200,5.822800
2009-08-07_thc,thc,2009-08-07,5.298800,5.557900,0.259100,3.819000,3.897500
2009-07-30_thc,thc,2009-07-30,1.016400,1.045500,0.029100,1.609100,1.580000
2009-08-05_thc,thc,2009-08-05,1.518900,1.464700,-0.054200,1.506000,1.565300
2009-08-10_thc,thc,2009-08-10,3.456000,2.915500,-0.540500,5.917400,7.051800
2009-08-08_thc,thc,2009-08-08,5.296500,5.570900,0.274400,3.932800,3.973100
2009-09-03_tha,tha,2009-09-03,0.080900,1.231000,1.150100,8.437600,2.234100
2009-09-13_tha,tha,2009-09-13,1.048800,1.240600,0.191800,1.851800,1.466200
2009-09-13_thd,thd,2009-09-13,0.818100,2.105100,1.287000,1.651200,2.150300
2009-09-14_tha,tha,2009-09-14,1.231000,1.282700,0.051700,1.328600,1.338100
2009-09-17_tha,tha,2009-09-17,1.163600,1.165600,0.002000,0.986500,1.018500
2009-09-13_the,the,2009-09-13,0.974000,0.874500,-0.099500,1.773600,1.755700
2009-09-15_tha,tha,2009-09-15,1.044100,1.080600,0.036500,1.173400,1.115800
2009-09-25_thc,thc,2009-09-25,5.806600,5.980500,0.173900,5.082500,5.055100
2009-09-26_thd,thd,2009-09-26,0.736800,0.720000,-0.016800,2.428400,2.413200
2009-10-01_thc,thc,2009-10-01,2.821100,3.203500,0.382400,4.225400,3.808800
2009-09-27_thd,thd,2009-09-27,0.916200,0.905100,-0.011100,1.866400,1.764100
2009-09-27_the,the,2009-09-27,0.989300,0.978700,-0.010600,1.357200,1.426300
2009-10-05_thc,thc,2009-10-05,0.125400,4.414400,4.289000,3.886600,4.381800
2009-10-02_thc,thc,2009-10-02,1.305600,2.714800,1.409200,2.029400,3.243900
2009-09-26_the,the,2009-09-26,0.971300,0.994700,0.023400,1.365900,1.160100
2009-10-12_thb,thb,2009-10-12,3.449200,2.922400,-0.526800,7.220400,7.662000
2009-10-13_thc,thc,2009-10-13,0.021800,0.976800,0.955000,4.901500,2.072100
2009-10-16_thc,thc,2009-10-16,3.133100,3.621300,0.488200,5.834300,6.243900
2009-10-22_tha,tha,2009-10-22,1.235300,1.469900,0.234600,1.567300,1.377300
2009-10-20_thc,thc,2009-10-20,0.020900,1.047600,1.026700,5.556800,1.453200
2009-10-23_tha,tha,2009-10-23,0.680500,1.715000,1.034500,3.062800,8.038800
2009-11-11_thb,thb,2009-11-11,8.314300,6.253700,-2.060600,3.839900,5.625100
2009-11-12_thb,thb,2009-11-12,0.014300,0.012000,-0.002300,4.247400,2.748600
2009-12-01_thb,thb,2009-12-01,4.408500,2.625700,-1.782800,4.578900,1.937500
2010-10-11_the,the,2010-10-11,0.006000,1.296700,1.290700,2.057500,1.496700
2010-10-11_tha,tha,2010-10-11,0.493100,1.282200,0.789100,1.913300,1.554600
2010-10-23_thd,thd,2010-10-23,1.366700,1.328400,-0.038300,1.210500,1.199900
2010-10-23_the,the,2010-10-23,1.370100,1.400900,0.030800,1.253400,1.256400
2010-10-23_tha,tha,2010-10-23,1.377100,1.401700,0.024600,1.258200,1.230800
2010-10-11_thd,thd,2010-10-11,0.007000,1.306500,1.299500,2.208500,1.527300
2010-11-10_the,the,2010-11-10,1.962000,2.182500,0.220500,2.046000,1.973300
2010-11-10_tha,tha,2010-11-10,1.576500,1.920100,0.343600,2.929800,2.835900
2013-01-13_thd,thd,2013-01-13,0.690000,0.910900,0.220900,1.914000,1.750100
2013-01-18_thd,thd,2013-01-18,4.777500,4.815000,0.037500,1.091500,0.993300
2013-01-19_tha,tha,2013-01-19,1.257700,1.240600,-0.017100,1.218000,1.271000
2013-01-26_tha,tha,2013-01-26,0.751000,0.862500,0.111500,1.361900,1.205700
2013-01-26_thd,thd,2013-01-26,0.491800,0.723900,0.232100,2.174100,1.413700
2013-01-26_the,the,2013-01-26,0.708700,0.788400,0.079700,1.558800,1.346500
2014-02-16_tha,tha,2014-02-16,0.049200,2.016200,1.967000,2.724400,0.975900
2014-02-15_the,the,2014-02-15,0.965900,6.477500,5.511600,17.544100,4.201500
2014-02-19_the,the,2014-02-19,0.325600,0.577600,0.252000,1.385600,0.159900
2014-02-23_the,the,2014-02-23,0.229600,3.166200,2.936600,10.336800,8.464800
2014-02-27_the,the,2014-02-27,1.970000,1.726800,-0.243200,1.027700,0.969100
2014-02-28_tha,tha,2014-02-28,0.602900,0.759100,0.156200,2.073900,1.740500
2014-02-27_thd,thd,2014-02-27,1.818600,2.047300,0.228700,2.296600,2.309400
2014-02-23_thd,thd,2014-02-23,39.995600,102.696000,62.700400,1.700900,0.645900
2014-03-20_the,the,2014-03-20,0.982500,0.983300,0.000800,1.444000,1.458500
2014-03-25_thd,thd,2014-03-25,2.726600,2.753600,0.027000,1.051100,0.943000
2014-03-26_the,the,2014-03-26,0.532900,0.785100,0.252200,2.372200,2.112200
2014-04-05_tha,tha,2014-04-05,0.181700,9.194900,9.013200,15.999700,3.748900
2015-03-17_tha,tha,2015-03-17,0.708600,2.409000,1.700400,3.354700,1.458300
2015-03-17_the,the,2015-03-17,0.468300,1.009200,0.540900,2.374600,1.045500
2015-04-14_thd,thd,2015-04-14,0.246100,11.200600,10.954500,14.473600,4.205700
2015-04-14_the,the,2015-04-14,0.040500,8.341000,8.300500,9.286700,2.572400
2015-04-15_tha,tha,2015-04-15,0.972400,4.100800,3.128400,15.835500,4.641200
2015-04-15_the,the,2015-04-15,0.220200,1.313900,1.093700,5.130000,1.044200
2015-04-15_thd,thd,2015-04-15,0.282300,1.217800,0.935500,5.353100,1.287600
2015-04-16_thd,thd,2015-04-16,0.266300,1.345400,1.079100,3.837000,1.429800
2015-04-16_the,the,2015-04-16,0.283700,1.277700,0.994000,3.898600,0.909500
2015-04-20_thd,thd,2015-04-20,0.053800,1.519900,1.466100,3.056900,0.896400
2015-04-20_the,the,2015-04-20,0.055300,1.790300,1.735000,3.810200,0.548800
2015-04-14_tha,tha,2015-04-14,0.093600,6.152800,6.059200,12.380700,4.307600
2015-04-16_tha,tha,2015-04-16,0.200000,1.048800,0.848800,4.348500,1.074700
2015-04-21_tha,tha,2015-04-21,0.118700,1.380400,1.261700,3.989200,1.823800
2015-05-01_tha,tha,2015-05-01,1.035700,1.042400,0.006700,1.339300,1.301100
2015-05-06_the,the,2015-05-06,1.116900,1.342700,0.225800,1.229800,1.156100
2015-05-07_thd,thd,2015-05-07,5.946600,5.805700,-0.140900,0.386500,0.418000
2015-04-20_tha,tha,2015-04-20,0.126600,5.344000,5.217400,11.028900,1.674500
2015-05-20_thd,thd,2015-05-20,0.823600,0.814900,-0.008700,1.331400,1.376000
2015-05-20_tha,tha,2015-05-20,0.743800,0.694700,-0.049100,1.565200,1.673400
2015-05-07_the,the,2015-05-07,0.082200,0.086400,0.004200,3.900900,3.960800
2015-06-08_the,the,2015-06-08,1.236900,1.808100,0.571200,2.219800,1.346800
2015-06-08_tha,tha,2015-06-08,0.271800,1.825500,1.553700,2.376500,1.398200
2015-06-08_thd,thd,2015-06-08,0.340100,1.509500,1.169400,2.100800,1.357700
2015-06-23_tha,tha,2015-06-23,1.346100,0.373500,-0.972600,1.485100,0.919200
2016-06-11_tha,tha,2016-06-11,1.003900,0.922500,-0.081400,2.097400,2.314600
2016-06-22_tha,tha,2016-06-22,6.750800,1.417000,-5.333800,4.935200,0.638000
2016-06-25_tha,tha,2016-06-25,0.864500,0.766900,-0.097600,1.367300,1.896500
2016-06-15_tha,tha,2016-06-15,0.704700,3.108600,2.403900,11.267700,2.447100
2016-06-23_tha,tha,2016-06-23,2.180500,0.817100,-1.363400,4.095500,2.065200
2016-06-26_tha,tha,2016-06-26,1.084800,1.100400,0.015600,1.135000,1.187800
2016-06-24_thd,thd,2016-06-24,0.687400,0.756600,0.069200,3.526400,1.417800
2016-06-27_tha,tha,2016-06-27,1.185000,1.152300,-0.032700,1.271700,1.277900
2016-06-24_tha,tha,2016-06-24,1.278300,1.158200,-0.120100,1.747200,1.781700
2016-06-30_tha,tha,2016-06-30,1.024900,0.963000,-0.061900,0.780500,0.875200
2016-07-03_thd,thd,2016-07-03,1.669400,2.097500,0.428100,1.274300,1.340800
2016-07-02_the,the,2016-07-02,0.693900,0.577800,-0.116100,1.188700,2.143500
2016-07-20_thd,thd,2016-07-20,6.904400,6.834700,-0.069700,2.440700,2.092800
2016-07-28_tha,tha,2016-07-28,0.116300,0.057500,-0.058800,17.054200,10.808500
2016-07-24_tha,tha,2016-07-24,1.299700,1.092600,-0.207100,1.343300,1.304100
2016-07-24_the,the,2016-07-24,1.375500,1.092100,-0.283400,1.505000,1.746600
2016-08-03_tha,tha,2016-08-03,0.133600,0.907800,0.774200,1.828300,1.364200
2016-07-25_tha,tha,2016-07-25,0.532000,0.012600,-0.519400,3.482900,5.228800
2016-07-28_the,the,2016-07-28,0.235200,0.337700,0.102500,2.792000,2.350200
2016-08-02_tha,tha,2016-08-02,2.766300,1.792600,-0.973700,1.383600,1.542200
2016-08-02_thd,thd,2016-08-02,0.594400,1.389600,0.795200,9.633800,1.776700
2017-08-04_the,the,2017-08-04,0.151000,1.305700,1.154700,4.649200,2.810700
2017-08-06_tha,tha,2017-08-06,1.313400,1.372300,0.058900,1.273400,1.639800
2017-08-07_tha,tha,2017-08-07,0.034000,0.030600,-0.003400,4.098400,3.136200
2017-08-08_tha,tha,2017-08-08,1.071000,0.914000,-0.157000,1.477500,1.841700
2017-08-10_tha,tha,2017-08-10,1.212000,1.017800,-0.194200,1.528800,1.599000
2017-08-05_tha,tha,2017-08-05,1.530500,1.328800,-0.201700,1.787400,1.876300
2017-08-17_the,the,2017-08-17,1.681700,1.545100,-0.136600,1.532000,1.737100
2017-08-16_the,the,2017-08-16,1.071100,1.064900,-0.006200,1.448400,1.589800
2017-08-12_the,the,2017-08-12,1.070900,1.242100,0.171200,1.449000,1.306100
2017-08-22_the,the,2017-08-22,1.267000,1.299100,0.032100,2.474800,2.631500
2017-08-22_thd,thd,2017-08-22,1.694700,1.891400,0.196700,0.491500,0.460200
2017-08-19_the,the,2017-08-19,2.434900,2.406100,-0.028800,3.089100,3.293700
2017-08-21_the,the,2017-08-21,0.989900,0.978400,-0.011500,1.092400,1.140300
2017-08-24_the,the,2017-08-24,0.012800,0.012800,0.000000,1.671000,1.724300
2017-08-25_tha,tha,2017-08-25,0.995700,1.356400,0.360700,2.356200,1.845900
2017-08-26_tha,tha,2017-08-26,0.027600,0.030500,0.002900,2.430300,2.477700
2017-08-25_the,the,2017-08-25,0.887500,0.913100,0.025600,1.485700,1.441300
2017-09-03_tha,tha,2017-09-03,0.816700,0.930000,0.113300,1.957900,1.572000
2017-09-01_thd,thd,2017-09-01,0.188600,0.144600,-0.044000,2.998700,3.146900
2017-09-04_tha,tha,2017-09-04,1.148400,1.239500,0.091100,1.097000,0.797600
2017-09-02_tha,tha,2017-09-02,0.889000,0.771000,-0.118000,6.460000,6.797000
2017-09-01_tha,tha,2017-09-01,1.044600,1.068900,0.024300,2.570100,2.523500
2017-08-30_tha,tha,2017-08-30,0.892600,0.874800,-0.017800,1.444700,1.524500
2017-09-06_the,the,2017-09-06,0.037100,0.030500,-0.006600,2.842200,3.081800
2017-09-05_the,the,2017-09-05,0.746800,0.783000,0.036200,2.734700,2.578400
2017-09-15_tha,tha,2017-09-15,0.669700,1.120100,0.450400,3.739100,1.319300
2017-09-15_thd,thd,2017-09-15,1.298300,1.435300,0.137000,1.164600,1.074000
2017-09-12_the,the,2017-09-12,1.254800,1.835300,0.580500,3.080800,4.521600
2017-09-11_tha,tha,2017-09-11,0.571300,1.163700,0.592400,5.431800,1.367700
2017-09-15_the,the,2017-09-15,2.864400,3.399800,0.535400,2.847600,3.384900
2017-09-16_tha,tha,2017-09-16,0.746400,0.999800,0.253400,3.633900,1.232200
2017-09-08_tha,tha,2017-09-08,0.589600,0.507800,-0.081800,2.133700,1.891700
2017-09-16_the,the,2017-09-16,0.866000,1.103700,0.237700,3.803000,4.133800
2017-09-17_the,the,2017-09-17,0.601900,0.817800,0.215900,3.912200,3.538900
2017-09-18_tha,tha,2017-09-18,1.197800,1.420700,0.222900,4.236100,1.278700
2017-09-14_tha,tha,2017-09-14,0.136100,0.478500,0.342400,2.312200,1.257700
2017-09-19_the,the,2017-09-19,0.168300,0.954800,0.786500,3.141800,2.332800
2017-09-18_the,the,2017-09-18,3.405200,4.661300,1.256100,3.759400,4.776400
2017-09-20_the,the,2017-09-20,0.176600,1.054300,0.877700,2.444200,1.468400
2017-09-07_tha,tha,2017-09-07,0.783600,0.497000,-0.286600,2.087200,1.902000
2017-09-23_the,the,2017-09-23,0.013100,0.030700,0.017600,3.981500,3.056800
2017-09-27_thd,thd,2017-09-27,0.410300,1.406600,0.996300,3.180400,1.304200
2017-09-27_the,the,2017-09-27,0.852700,1.532400,0.679700,5.321900,3.327000
2017-09-22_the,the,2017-09-22,0.430700,0.812000,0.381300,2.235600,1.908800
2017-09-28_the,the,2017-09-28,0.311100,1.151600,0.840500,4.972400,1.881400
2017-09-27_tha,tha,2017-09-27,0.334100,2.535500,2.201400,2.855700,1.593500
2017-10-12_the,the,2017-10-12,0.670800,1.104400,0.433600,5.930500,1.533700
2017-10-11_the,the,2017-10-11,0.057000,0.877200,0.820200,4.707500,2.117700
2018-08-26_tha,tha,2018-08-26,0.178700,2.609000,2.430300,1.840600,1.329600
2018-08-31_thd,thd,2018-08-31,0.884500,1.044700,0.160200,1.724200,1.487900
2018-08-26_thd,thd,2018-08-26,0.788100,1.168500,0.380400,2.728900,1.488100
2018-09-04_thd,thd,2018-09-04,0.504500,1.684800,1.180300,5.585100,0.860200
2018-09-07_the,the,2018-09-07,0.208400,1.185200,0.976800,6.138600,0.612400
2018-09-11_tha,tha,2018-09-11,0.576800,2.964000,2.387200,5.928300,2.967300
2018-09-11_thd,thd,2018-09-11,0.379400,0.733900,0.354500,3.603800,2.052900
2018-09-10_the,the,2018-09-10,0.170500,1.066000,0.895500,4.029500,1.635400
2018-09-14_thd,thd,2018-09-14,0.435500,3.464600,3.029100,8.593300,7.162900
2018-09-13_tha,tha,2018-09-13,0.112600,1.045300,0.932700,2.734600,1.235000
2018-09-10_thd,thd,2018-09-10,0.360500,0.696200,0.335700,3.283000,1.875000
2018-09-13_the,the,2018-09-13,0.530500,1.133900,0.603400,3.704500,1.098400
2018-09-14_tha,tha,2018-09-14,0.216000,1.103700,0.887700,4.382000,1.414500
2018-09-16_the,the,2018-09-16,0.554600,4.331500,3.776900,12.105800,3.468000
2018-09-17_tha,tha,2018-09-17,2.310000,2.259900,-0.050100,0.770200,0.617200
2018-09-21_tha,tha,2018-09-21,2.340400,2.432900,0.092500,7.205100,6.967000
2018-09-21_thd,thd,2018-09-21,0.914700,0.968800,0.054100,2.345000,2.162400
2018-09-17_the,the,2018-09-17,0.138400,3.293200,3.154800,9.341700,4.637800
2018-09-17_thd,thd,2018-09-17,0.325600,0.724300,0.398700,4.029700,2.388600
2018-09-23_tha,tha,2018-09-23,1.435100,1.172900,-0.262200,14.722200,15.372700
2018-09-23_thd,thd,2018-09-23,3.376400,4.446100,1.069700,6.936500,5.953100
2018-09-23_the,the,2018-09-23,0.143400,1.492000,1.348600,2.797900,1.304800
2018-09-24_the,the,2018-09-24,0.050800,0.056600,0.005800,4.138400,3.629000
2018-09-22_thd,thd,2018-09-22,0.121000,1.583900,1.462900,2.311800,1.368500
2018-09-18_thd,thd,2018-09-18,0.144200,0.850200,0.706000,4.617200,2.499300
2018-09-21_the,the,2018-09-21,5.214200,7.597200,2.383000,5.776000,4.385200
2018-09-18_tha,tha,2018-09-18,1.250500,1.345600,0.095100,2.362700,1.926700
2018-09-24_thd,thd,2018-09-24,0.234700,0.071900,-0.162800,26.051900,20.214100
2018-09-25_thd,thd,2018-09-25,0.049400,0.051300,0.001900,24.917600,25.066600
2018-09-26_tha,tha,2018-09-26,0.882300,0.868800,-0.013500,1.693700,1.657800
2018-09-26_thd,thd,2018-09-26,4.323300,4.618200,0.294900,7.389100,6.687900
2018-09-28_the,the,2018-09-28,3.783700,4.264100,0.480400,3.899400,3.754500
2018-09-26_the,the,2018-09-26,0.785800,1.132600,0.346800,2.011200,1.294500
2018-09-29_thd,thd,2018-09-29,8.770700,8.587100,-0.183600,5.367300,5.573500
2018-09-27_tha,tha,2018-09-27,0.998000,1.114400,0.116400,1.813600,1.925500
2018-09-29_the,the,2018-09-29,6.401400,6.439000,0.037600,4.986000,4.944500
2018-09-27_thd,thd,2018-09-27,6.568500,6.652700,0.084200,3.981200,3.928100
2018-09-25_the,the,2018-09-25,7.678700,6.723600,-0.955100,1.213700,1.049500
2018-10-03_the,the,2018-10-03,0.417000,0.646800,0.229800,3.709200,2.841900
2018-09-27_the,the,2018-09-27,1.160600,1.170900,0.010300,1.277400,1.296200
2018-09-22_tha,tha,2018-09-22,1.257800,1.590500,0.332700,1.973400,2.831500
2018-09-30_thd,thd,2018-09-30,2.024400,2.983100,0.958700,5.838700,3.985000
2018-09-30_the,the,2018-09-30,0.031400,0.205300,0.173900,4.368100,6.797800
2018-10-01_the,the,2018-10-01,5.965000,6.072300,0.107300,2.422300,2.479600
2018-10-04_the,the,2018-10-04,0.113900,0.118500,0.004600,2.338100,2.350100
2018-09-30_tha,tha,2018-09-30,1.454100,1.462200,0.008100,1.092100,1.070700
2018-10-01_thd,thd,2018-10-01,0.111000,5.215400,5.104400,14.204100,6.402000
2018-10-06_the,the,2018-10-06,1.532000,1.534400,0.002400,0.953400,0.958000
2018-10-15_tha,tha,2018-10-15,2.724300,2.296700,-0.427600,2.990700,2.922800
2018-10-17_the,the,2018-10-17,1.166300,1.093000,-0.073300,1.954200,2.261600
2018-10-21_tha,tha,2018-10-21,2.175300,1.781700,-0.393600,1.883800,2.316700
