encounter_id,date,probe,year,month,sza_deg,cone_deg,clock_deg,cone_bin,dp_nPa,bz_nT,ma,mp_standoff_re,bs_standoff_re,alpha,x_gsm_re,r_re,n_points,near_occ_1d,bg_occ_1d,Dn_1d,EB_1d,evaluable_1d,near_occ_rad,bg_occ_rad,Dn_rad,EB_rad,evaluable_rad,near_occ_jbs,bg_occ_jbs,Dn_jbs,EB_jbs,evaluable_jbs,s_shift_mean,Dn_rad_0.0_0.05,occ_rad_0.0_0.05,Dn_rad_0.0_0.1,occ_rad_0.0_0.1,Dn_rad_0.1_0.2,occ_rad_0.1_0.2,Dn_rad_0.2_0.4,occ_rad_0.2_0.4
2009-12-02_tha,2009-12-02,tha,2009,12,29.7,88.7,338.8,perpendicular,1.8,2.42,15.5,10.46,13.37,0.5658,6.54,7.53,7078,0.8509,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0.3545,,1.0,,1.0,,0.0,,0.0
2010-08-28_tha,2010-08-28,tha,2010,8,27.1,86.7,293.0,perpendicular,1.41,0.42,15.3,10.83,13.84,0.5839,6.67,7.49,7126,0.8852,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0.3615,,1.0,,1.0,,0.0,,0.0
2010-08-27_tha,2010-08-27,tha,2010,8,27.9,56.1,233.5,intermediate,2.09,-0.63,13.2,10.12,12.95,0.5986,6.61,7.48,7127,0.9181,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0.3488,,1.0,,1.0,,0.0,,0.0
2010-08-26_the,2010-08-26,the,2010,8,28.4,61.3,287.3,perpendicular,1.72,0.71,12.8,10.51,13.45,0.5828,6.58,7.49,7124,0.911,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0.3586,,1.0,,1.0,,0.0,,0.0
2010-08-27_thd,2010-08-27,thd,2010,8,29.3,54.1,221.0,intermediate,2.04,-0.54,13.3,10.16,13.01,0.5973,6.53,7.49,7121,0.9201,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0.3534,,1.0,,1.0,,0.0,,0.0
2009-11-26_thd,2009-11-26,thd,2009,11,26.9,44.3,67.3,low-cone,2.05,1.44,8.2,10.24,13.18,0.5772,6.71,7.52,7090,0.9086,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0.3427,,1.0,,1.0,,0.0,,0.0
2010-08-27_the,2010-08-27,the,2010,8,27.5,54.3,224.4,intermediate,2.02,-0.48,13.3,10.18,13.03,0.5966,6.64,7.49,7124,0.9246,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0.35,,1.0,,1.0,,0.0,,0.0
2009-11-30_thd,2009-11-30,thd,2009,11,33.3,,,,,,,,,,,,,,,,,False,,,,,False,,,,,,,,,,,,,,
2009-11-26_the,2009-11-26,the,2009,11,25.9,85.0,117.6,perpendicular,1.02,-0.88,16.9,11.24,14.37,0.5948,6.74,7.49,7087,0.8425,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0.3647,,1.0,,1.0,,0.0,,0.0
2010-08-28_the,2010-08-28,the,2010,8,26.7,84.6,296.4,perpendicular,1.41,0.42,15.5,10.83,13.84,0.5839,6.69,7.49,7124,0.8944,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0.3613,,1.0,,1.0,,0.0,,0.0
2010-05-13_thc,2010-05-13,thc,2010,5,11.0,,,,,,,,,,,,,,,,,False,,,,,False,,,,,,,,,,,,,,
2010-08-29_the,2010-08-29,the,2010,8,25.8,67.0,319.5,perpendicular,0.72,1.3,13.3,12.0,15.36,0.5711,6.74,7.49,7123,0.8419,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0.3757,,1.0,,1.0,,0.0,,0.0
2009-12-02_thb,2009-12-02,thb,2009,12,14.0,38.0,139.1,low-cone,1.28,-0.15,17.5,10.95,14.0,0.589,9.7,10.0,7170,0.6389,0.0,,,False,0.1036,0.0748,1.48,0.9477,True,0.1212,0.0218,1.8191,1.0944,True,0.2341,0.0145,0.6389,0.0145,0.664,0.0159,0.0508,1.48,0.1036
2010-08-26_tha,2010-08-26,tha,2010,8,28.9,57.4,284.0,intermediate,1.71,0.58,12.7,10.52,13.46,0.584,6.56,7.49,7107,0.9032,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0.3589,,1.0,,1.0,,0.0,,0.0
