eid,sza_med,Dn_1d,Dn_radial,dDn,EB_1d,EB_radial
2008-08-18_thd,15.90828494670081,0.7524,0.7336,-0.018799999999999928,1.3402,1.5787
2008-08-26_thc,14.80467103072116,5.6535,4.8235,-0.8300000000000001,4.4531,6.1421
2008-08-28_thb,12.127900141181884,0.0864,5.2338,5.147399999999999,12.4706,6.5071
2008-08-30_thc,13.214293668577694,0.0304,1.0881,1.0577,3.0406,1.2756
2008-08-28_thc,14.391625476480153,0.0221,1.1141,1.092,3.5582,1.8482
2008-09-01_thb,14.472069112431795,0.0412,1.3393,1.2981,3.3556,0.7057
2008-09-05_thb,9.06497210726978,0.8051,1.6537,0.8485999999999999,11.8841,8.5636
2008-09-03_thc,11.14016362509749,0.0208,0.5281,0.5073,5.4418,3.0119
2008-09-05_thc,10.143907056950686,0.1948,0.2893,0.0945,3.4403,3.0983
2008-09-07_thc,9.137439251914197,0.7613,3.8339,3.0726,12.2117,4.5908
2008-09-08_thc,5.5983480459951025,3.3265,3.8703,0.5438000000000001,6.5617,5.821
2008-09-09_thb,8.375378763029248,0.4893,3.7566,3.2673,17.3015,7.5175
2008-09-06_thc,6.3918151353711625,4.2217,4.2113,-0.010400000000000631,6.0333,6.0908
2008-09-10_thc,4.79040934058547,0.0379,0.1225,0.0846,4.1709,3.187
2008-09-09_thc,8.138750146932532,0.2588,1.4017,1.1429,5.7949,1.9506
2008-09-12_thb,7.5068492339992705,0.0535,1.1788,1.1253,7.0362,4.3443
2008-09-04_thc,7.167590057010759,0.515,0.4996,-0.015400000000000025,10.6707,10.7307
2008-09-13_thb,8.687448850187344,0.06,0.5129,0.4529,5.814,3.4321
2008-09-14_the,8.112536921352378,3.5874,3.4269,-0.1605000000000003,2.0909,2.5359
2008-09-14_thd,7.40774336474662,4.5909,5.4798,0.8888999999999996,2.5982,2.7221
2008-09-16_thb,9.603573335822059,0.5508,5.5124,4.961600000000001,17.1507,6.1783
