eid,probe,bz,bz_sign,clock,cone,sza,dp,ma,bx,Dn_mem,EB_mem,n_near,beta_near,T_near,n_mem,cls
2015-04-15_tha,tha,-1.29,0,230.5,48.0,1.8,5.99,8.9,6.59,5.3166,6.1187,41.57,2.6689,413.8,246,AMBIGUOUS
2015-04-15_thd,thd,-0.61,0,215.2,50.4,1.4,5.92,11.6,4.8,1.3532,1.1687,38.87,8.6881,518.0,509,AMBIGUOUS
2015-04-15_the,the,-1.08,0,223.9,45.0,1.1,5.92,10.8,5.99,1.5077,0.9795,60.31,15.5085,528.2,396,AMBIGUOUS
2015-04-16_tha,tha,-2.83,0,226.3,51.4,1.6,4.25,8.9,5.05,0.7719,1.6135,16.52,0.9808,420.1,644,AMBIGUOUS
2015-04-16_thd,thd,-4.47,0,218.0,76.5,1.8,4.86,9.1,1.95,1.5118,1.1376,27.38,4.4432,559.5,565,AMBIGUOUS
2015-04-16_the,the,-3.0,0,229.0,57.7,1.4,4.46,9.1,4.36,1.2085,1.3914,34.76,5.3981,577.2,464,AMBIGUOUS
2015-04-20_thd,thd,1.84,1,68.0,62.3,3.1,7.64,10.7,-3.87,1.2387,1.0461,92.49,3.1723,194.3,329,AMBIGUOUS
2015-04-20_the,the,2.27,1,48.4,48.5,2.6,7.64,17.8,-3.83,1.8407,0.6378,163.38,27.2526,233.8,264,AMBIGUOUS
2015-04-21_tha,tha,1.72,1,59.8,58.1,0.4,3.12,10.2,-3.24,1.1684,2.6608,15.26,1.1334,378.2,743,AMBIGUOUS
2015-05-01_tha,tha,7.08,1,41.1,62.8,2.1,2.44,5.0,-5.07,1.0064,1.4423,22.89,0.4537,168.5,841,AMBIGUOUS
2015-05-01_thd,thd,6.88,1,39.9,61.1,6.8,2.32,5.1,-5.17,0.9394,1.7977,22.49,0.4466,161.5,793,AMBIGUOUS
2015-05-01_the,the,7.09,1,40.7,63.3,5.9,2.43,5.1,-4.96,0.9666,1.8389,30.72,0.5448,161.2,610,AMBIGUOUS
2015-05-07_thd,thd,0.62,1,284.4,69.8,9.2,2.25,9.2,2.04,1.7516,1.183,14.21,0.3677,211.9,350,AMBIGUOUS
2015-05-29_tha,tha,5.07,1,46.1,73.0,8.8,2.48,6.5,-2.47,0.5291,1.738,25.18,0.3131,130.8,557,CONFIRMED_PDL
2015-05-29_thd,thd,5.11,1,46.3,74.3,14.8,2.48,6.5,-2.29,0.5018,1.6668,22.51,0.2735,120.2,693,CONFIRMED_PDL
2015-05-29_the,the,5.04,1,46.7,72.1,13.1,2.5,6.6,-2.6,0.2929,1.7892,17.26,0.3985,160.5,344,AMBIGUOUS
2015-06-08_tha,tha,-3.96,0,249.2,52.9,11.0,7.65,5.5,10.5,0.6217,1.7372,14.9,0.1202,263.4,294,AMBIGUOUS
2015-06-08_thd,thd,-3.93,0,249.2,53.4,17.2,7.86,5.5,10.41,1.6054,1.4074,44.1,0.5734,238.1,487,AMBIGUOUS
2015-06-08_the,the,-3.85,0,249.7,52.8,15.2,7.62,5.5,10.5,1.2739,1.5301,44.65,0.5347,252.4,368,AMBIGUOUS
2015-06-23_tha,tha,-19.3,0,161.7,81.2,15.0,3.78,3.0,3.52,0.3066,0.9785,8.16,0.1067,307.1,621,AMBIGUOUS
2015-07-11_tha,tha,-4.07,0,108.7,56.3,26.2,10.23,6.6,-9.62,1.3958,1.4093,73.75,2.6009,377.4,567,AMBIGUOUS
