eid,probe,stage,bz,cls
2010-11-17_the,the,no_bg,-0.94,
2010-11-18_tha,tha,no_bg,-0.5,
2010-11-18_thd,thd,no_bg,-0.53,
2010-11-18_the,the,no_bg,-0.61,
2010-11-19_tha,tha,no_bg,2.8,
2010-11-19_thd,thd,no_bg,2.82,
2010-11-19_the,the,no_bg,2.78,
2010-11-20_tha,tha,no_bg,-0.25,
2010-11-20_thd,thd,no_bg,-0.24,
2010-11-20_the,the,no_bg,-0.25,
2010-11-21_tha,tha,no_bg,-0.43,
2010-11-21_thd,thd,no_bg,-0.45,
2010-11-21_the,the,no_bg,-0.31,
2010-11-22_tha,tha,no_bg,1.15,
2010-11-22_thd,thd,no_bg,1.37,
2010-11-22_the,the,no_bg,0.76,
2010-11-23_tha,tha,no_sheath,-0.77,
2010-11-23_thd,thd,no_bg,-0.82,
2010-11-23_the,the,no_sheath,-0.77,
2010-11-24_tha,tha,no_bg,-0.76,
2010-11-24_thd,thd,no_bg,-0.78,
2010-11-24_the,the,no_bg,-0.65,
2010-11-25_tha,tha,no_sheath,0.51,
2010-11-25_thd,thd,no_sheath,0.51,
2010-11-25_the,the,no_sheath,0.55,
2010-11-26_tha,tha,no_sheath,0.34,
2010-11-26_thd,thd,no_sheath,0.31,
2010-11-26_the,the,no_sheath,0.39,
2010-11-27_tha,tha,no_bg,4.93,
2010-11-27_thd,thd,no_bg,4.96,
2010-11-27_the,the,no_bg,4.93,
2010-11-28_tha,tha,no_sheath,-0.78,
2010-11-28_thd,thd,no_sheath,-0.84,
2010-11-28_the,the,no_sheath,-0.73,
2010-11-29_tha,tha,no_sheath,-0.65,
2010-11-29_thd,thd,no_bg,-0.7,
2010-11-29_the,the,no_sheath,-0.54,
2010-11-30_tha,tha,no_sheath,0.05,
2010-11-30_thd,thd,no_sheath,-0.06,
2010-11-30_the,the,no_sheath,-0.48,
2010-12-01_tha,tha,no_sheath,0.09,
2010-12-01_thd,thd,no_bg,-1.37,
2010-12-01_the,the,no_sheath,0.09,
2010-12-02_tha,tha,no_sheath,-1.76,
2010-12-02_thd,thd,no_bg,0.02,
2010-12-02_the,the,no_sheath,-1.76,
2010-12-03_tha,tha,no_sheath,0.02,
2010-12-03_thd,thd,no_bg,0.15,
2010-12-03_the,the,no_sheath,0.02,
2010-12-04_tha,tha,no_sheath,0.06,
2010-12-04_thd,thd,no_bg,0.06,
2010-12-04_the,the,no_bg,0.06,
2010-12-05_tha,tha,no_sheath,0.25,
2010-12-05_thd,thd,no_sheath,0.25,
2010-12-05_the,the,no_sheath,0.25,
2010-12-06_tha,tha,no_sheath,-1.01,
2010-12-06_thd,thd,no_bg,-1.01,
2010-12-06_the,the,no_bg,-0.72,
2010-12-07_tha,tha,no_bg,-3.33,
2010-12-07_thd,thd,no_sheath,-0.45,
2010-12-07_the,the,no_sheath,-0.73,
2010-12-08_tha,tha,no_sheath,-0.78,
2010-12-08_thd,thd,no_sheath,-0.79,
2010-12-08_the,the,no_bg,-3.33,
2010-12-09_tha,tha,no_sheath,1.69,
2010-12-09_thd,thd,no_sheath,1.71,
2010-12-09_the,the,no_sheath,-0.84,
2010-12-10_tha,tha,no_sheath,-0.6,
2010-12-10_thd,thd,no_sheath,-0.63,
2010-12-10_the,the,no_sheath,1.77,
2010-12-11_tha,tha,no_sheath,0.19,
2010-12-11_thd,thd,no_sheath,0.27,
2010-12-11_the,the,no_sheath,0.51,
2010-12-12_tha,tha,no_bg,-2.38,
2010-12-12_thd,thd,no_bg,-2.56,
2010-12-12_the,the,no_bg,-2.84,
2010-12-13_tha,tha,no_sheath,0.07,
2010-12-13_thd,thd,no_sheath,0.07,
2010-12-13_the,the,no_sheath,0.09,
2010-12-14_tha,tha,no_sheath,-0.18,
2010-12-14_thd,thd,no_sheath,-0.18,
2010-12-14_the,the,no_sheath,-0.48,
2010-12-15_thd,thd,no_sheath,0.45,
2010-12-15_the,the,no_sheath,0.46,
2010-12-16_thd,thd,no_sheath,0.18,
2010-12-16_the,the,no_sheath,0.21,
2010-12-17_thd,thd,no_sheath,-0.19,
2010-12-17_the,the,no_sheath,-0.19,
2010-12-18_thd,thd,no_sheath,-0.64,
2010-12-18_the,the,no_sheath,-0.69,
2010-12-19_thd,thd,no_bg,2.7,
2010-12-19_the,the,no_bg,2.55,
2010-12-20_thd,thd,no_sheath,-1.96,
2010-12-20_the,the,no_sheath,-1.81,
2010-12-21_thd,thd,no_sheath,0.26,
2010-12-21_the,the,no_sheath,0.3,
2010-12-22_thd,thd,no_sheath,-0.99,
2010-12-22_the,the,no_sheath,-1.11,
2010-12-23_thd,thd,no_sheath,3.17,
2011-10-01_thd,thd,no_sheath,-0.88,
2011-10-02_thd,thd,no_sheath,0.59,
2011-10-03_tha,tha,no_sheath,-1.91,
2011-10-03_thd,thd,no_sheath,-2.02,
2011-10-04_tha,tha,no_sheath,-1.66,
2011-10-04_thd,thd,no_sheath,-1.82,
2011-10-04_the,the,no_sheath,-1.8,
2011-10-05_tha,tha,no_bg,7.76,
2011-10-05_thd,thd,no_bg,7.29,
2011-10-05_the,the,no_bg,7.4,
2011-10-06_tha,tha,no_sheath,2.77,
2011-10-06_thd,thd,no_sheath,1.93,
2011-10-06_the,the,no_sheath,1.97,
2011-10-07_tha,tha,no_sheath,0.36,
2011-10-07_thd,thd,no_sheath,0.88,
2011-10-07_the,the,no_sheath,0.84,
2011-10-08_tha,tha,no_bg,-1.97,
2011-10-08_thd,thd,no_bg,-1.46,
2011-10-08_the,the,no_bg,-1.72,
2011-10-09_tha,tha,no_sheath,2.26,
2011-10-09_thd,thd,no_sheath,2.27,
2011-10-09_the,the,no_sheath,2.3,
2011-10-10_tha,tha,no_sheath,1.46,
2011-10-10_thd,thd,no_sheath,1.9,
2011-10-10_the,the,no_sheath,1.75,
2011-10-11_tha,tha,no_sheath,2.45,
2011-10-11_thd,thd,no_sheath,1.96,
2011-10-11_the,the,no_sheath,1.95,
2011-10-12_tha,tha,no_sheath,-0.2,
2011-10-12_thd,thd,no_sheath,0.19,
2011-10-12_the,the,no_sheath,0.1,
2011-10-13_tha,tha,no_sheath,2.17,
2011-10-13_thd,thd,no_sheath,2.16,
2011-10-13_the,the,no_sheath,2.16,
2011-10-14_tha,tha,no_sheath,2.78,
2011-10-14_thd,thd,no_sheath,3.09,
2011-10-14_the,the,no_sheath,3.06,
2011-10-15_tha,tha,no_sheath,2.0,
2011-10-15_thd,thd,no_sheath,1.83,
2011-10-15_the,the,no_sheath,1.84,
2011-10-16_tha,tha,no_sheath,2.15,
2011-10-16_thd,thd,no_sheath,2.13,
2011-10-16_the,the,no_sheath,2.15,
2011-10-17_tha,tha,no_sheath,2.08,
2011-10-17_thd,thd,no_sheath,2.32,
2011-10-17_the,the,no_sheath,2.21,
2011-10-18_tha,tha,no_sheath,3.18,
2011-10-18_thd,thd,no_sheath,3.18,
2011-10-18_the,the,no_sheath,3.22,
2011-10-19_tha,tha,no_sheath,0.64,
2011-10-19_thd,thd,no_sheath,0.43,
2011-10-19_the,the,no_sheath,0.44,
2011-10-20_tha,tha,no_sheath,-0.03,
2011-10-20_thd,thd,no_sheath,0.04,
2011-10-20_the,the,no_sheath,0.04,
2011-10-21_tha,tha,no_sheath,0.03,
2011-10-21_thd,thd,no_sheath,0.06,
2011-10-21_the,the,no_sheath,0.04,
2011-10-22_tha,tha,no_sheath,3.75,
2011-10-22_thd,thd,no_sheath,3.43,
2011-10-22_the,the,no_sheath,3.54,
2011-10-23_tha,tha,no_bg,-2.76,
2011-10-23_thd,thd,no_bg,-2.84,
2011-10-23_the,the,no_bg,-2.84,
2011-10-24_tha,tha,no_sheath,2.75,
2011-10-24_thd,thd,no_sheath,3.09,
2011-10-24_the,the,no_sheath,3.02,
2011-10-25_tha,tha,no_bg,13.54,
2011-10-25_thd,thd,no_bg,13.93,
2011-10-25_the,the,no_bg,13.81,
2011-10-26_tha,tha,no_sheath,2.9,
2011-10-26_thd,thd,no_sheath,3.15,
2011-10-26_the,the,no_sheath,3.13,
2011-10-27_tha,tha,no_sheath,-0.37,
2011-10-27_thd,thd,no_sheath,-0.28,
2011-10-27_the,the,no_sheath,-0.28,
2011-10-28_tha,tha,no_sheath,0.9,
2011-10-28_thd,thd,no_sheath,0.91,
2011-10-28_the,the,no_sheath,0.91,
2011-10-29_tha,tha,no_sheath,-0.76,
2011-10-29_thd,thd,no_sheath,-0.76,
2011-10-29_the,the,no_sheath,-0.76,
2011-10-30_tha,tha,no_bg,-1.81,
2011-10-30_thd,thd,no_bg,-2.58,
2011-10-30_the,the,no_bg,-2.49,
2011-10-31_tha,tha,no_bg,-0.93,
2011-10-31_thd,thd,no_bg,-0.87,
2011-10-31_the,the,no_bg,-0.87,
2011-11-01_tha,tha,no_bg,-3.99,
2011-11-01_thd,thd,no_bg,-4.38,
2011-11-01_the,the,no_bg,-4.33,
2011-11-02_tha,tha,no_sheath,-2.67,
2011-11-02_thd,thd,no_sheath,-3.24,
2011-11-02_the,the,no_sheath,-3.08,
2011-11-03_tha,tha,no_sheath,-0.94,
2011-11-03_thd,thd,no_sheath,-0.74,
2011-11-03_the,the,no_sheath,-0.75,
2011-11-04_tha,tha,no_sheath,-3.05,
2011-11-04_thd,thd,no_sheath,-3.04,
2011-11-04_the,the,no_sheath,-3.04,
2011-11-05_tha,tha,no_sheath,1.31,
2011-11-05_thd,thd,no_sheath,1.31,
2011-11-05_the,the,no_sheath,1.31,
2011-11-06_tha,tha,no_bg,3.36,
2011-11-06_thd,thd,no_bg,3.36,
2011-11-06_the,the,no_bg,3.27,
2011-11-07_tha,tha,no_bg,3.45,
2011-11-07_thd,thd,no_bg,3.44,
2011-11-07_the,the,no_bg,3.2,
2011-11-08_tha,tha,no_bg,-3.95,
2011-11-08_thd,thd,no_bg,-4.0,
2011-11-08_the,the,no_bg,-4.15,
2011-11-09_tha,tha,no_sheath,1.07,
2011-11-09_thd,thd,no_sheath,1.1,
2011-11-09_the,the,no_sheath,1.23,
2011-11-10_tha,tha,no_sheath,0.56,
2011-11-10_thd,thd,no_sheath,0.56,
2011-11-10_the,the,no_sheath,0.81,
2011-11-11_tha,tha,no_sheath,-0.38,
2011-11-11_thd,thd,no_sheath,-0.38,
2011-11-11_the,the,no_sheath,-0.42,
2011-11-12_tha,tha,no_sheath,0.23,
2011-11-12_thd,thd,no_sheath,0.23,
2011-11-12_the,the,no_sheath,0.31,
2011-11-13_tha,tha,no_sheath,3.23,
2011-11-13_thd,thd,no_sheath,3.23,
2011-11-13_the,the,no_sheath,3.18,
2011-11-14_tha,tha,no_sheath,3.81,
2011-11-14_thd,thd,no_sheath,3.81,
2011-11-14_the,the,no_sheath,3.87,
2011-11-15_tha,tha,no_sheath,-0.65,
2011-11-15_thd,thd,no_bg,-0.65,
2011-11-15_the,the,no_bg,-1.5,
2011-11-16_tha,tha,no_sheath,1.85,
2011-11-16_thd,thd,no_sheath,1.85,
2011-11-16_the,the,no_sheath,1.94,
2011-11-17_tha,tha,no_sheath,2.41,
2011-11-17_thd,thd,no_sheath,2.41,
2011-11-17_the,the,no_sheath,2.76,
2011-11-18_tha,tha,no_sheath,0.99,
2011-11-18_thd,thd,no_sheath,0.99,
2011-11-18_the,the,no_sheath,1.13,
2011-11-19_tha,tha,no_sheath,3.39,
2011-11-19_thd,thd,no_sheath,3.39,
2011-11-19_the,the,no_sheath,3.42,
2011-11-20_tha,tha,no_bg,-1.9,
2011-11-20_thd,thd,no_bg,-1.9,
2011-11-20_the,the,no_bg,-1.41,
2011-11-21_tha,tha,no_bg,-3.53,
2011-11-21_thd,thd,no_bg,-3.54,
2011-11-21_the,the,no_bg,-4.41,
2011-11-22_tha,tha,contrib,3.07,CONFIRMED_PDL
2011-11-22_thd,thd,contrib,3.05,AMBIGUOUS
2011-11-22_the,the,contrib,-2.02,AMBIGUOUS
2011-11-23_tha,tha,no_bg,1.4,
2011-11-23_thd,thd,no_bg,1.39,
2011-11-23_the,the,no_bg,1.3,
2011-11-24_tha,tha,no_bg,-1.0,
2011-11-24_thd,thd,no_bg,-0.97,
2011-11-24_the,the,no_bg,-0.73,
2011-11-25_tha,tha,no_bg,1.91,
2011-11-25_thd,thd,no_bg,1.91,
2011-11-25_the,the,no_bg,1.92,
2011-11-26_tha,tha,no_bg,0.59,
2011-11-26_thd,thd,no_bg,0.54,
2011-11-26_the,the,no_bg,0.57,
2011-11-27_tha,tha,no_bg,1.25,
2011-11-27_thd,thd,no_bg,1.01,
2011-11-27_the,the,no_bg,0.03,
2011-11-28_tha,tha,no_sheath,0.09,
2011-11-28_thd,thd,no_sheath,0.16,
2011-11-28_the,the,no_sheath,0.56,
2011-11-29_tha,tha,no_bg,0.95,
2011-11-29_thd,thd,no_bg,0.54,
2011-11-29_the,the,no_bg,0.45,
2011-11-30_tha,tha,no_bg,-2.37,
2011-11-30_thd,thd,no_bg,-2.54,
2011-11-30_the,the,no_bg,-2.95,
2011-12-01_thd,thd,no_sheath,0.36,
2011-12-01_the,the,no_sheath,0.68,
2011-12-02_tha,tha,no_bg,-2.13,
2011-12-02_thd,thd,no_bg,-2.16,
2011-12-02_the,the,no_bg,-1.71,
2011-12-03_tha,tha,no_bg,-2.23,
2011-12-03_thd,thd,no_bg,-2.18,
2011-12-03_the,the,no_bg,-1.93,
2011-12-04_tha,tha,no_bg,1.56,
2011-12-04_thd,thd,no_bg,1.5,
2011-12-04_the,the,no_bg,1.37,
2011-12-05_tha,tha,no_bg,0.28,
2011-12-05_thd,thd,no_bg,0.52,
2011-12-05_the,the,no_bg,0.64,
2011-12-06_tha,tha,no_bg,-0.59,
2011-12-06_thd,thd,no_bg,-0.69,
2011-12-06_the,the,no_bg,-0.94,
2011-12-07_tha,tha,no_bg,1.15,
2011-12-07_thd,thd,no_bg,0.56,
2011-12-07_the,the,no_bg,0.1,
2011-12-08_tha,tha,no_bg,-1.09,
2011-12-08_thd,thd,no_bg,-1.1,
2011-12-08_the,the,no_bg,-1.11,
2011-12-09_tha,tha,no_bg,4.55,
2011-12-09_thd,thd,no_bg,5.11,
2011-12-09_the,the,no_bg,4.96,
2011-12-10_tha,tha,no_bg,0.89,
2011-12-10_thd,thd,no_bg,0.31,
2011-12-10_the,the,no_bg,0.22,
2011-12-11_tha,tha,no_bg,-0.22,
2011-12-11_thd,thd,no_bg,-0.37,
2011-12-11_the,the,no_bg,-0.32,
2011-12-12_tha,tha,no_bg,-0.34,
2011-12-12_thd,thd,no_bg,0.08,
2011-12-12_the,the,no_bg,0.36,
2011-12-13_tha,tha,no_bg,1.37,
2011-12-13_thd,thd,no_bg,1.47,
2011-12-13_the,the,no_bg,1.53,
2011-12-14_tha,tha,no_sheath,0.13,
2011-12-14_thd,thd,no_sheath,0.33,
2011-12-14_the,the,no_sheath,0.44,
2011-12-15_tha,tha,no_sheath,0.09,
2011-12-15_thd,thd,no_sheath,-0.38,
2011-12-15_the,the,no_sheath,-0.36,
2011-12-16_tha,tha,no_sheath,-0.39,
2011-12-16_thd,thd,no_bg,-0.16,
2011-12-16_the,the,no_bg,-0.23,
2011-12-17_tha,tha,no_bg,-0.07,
2011-12-17_thd,thd,no_bg,-1.96,
2011-12-17_the,the,no_bg,-1.85,
2011-12-18_tha,tha,no_bg,-2.09,
2011-12-18_thd,thd,no_bg,3.38,
2011-12-18_the,the,contrib,3.29,CONFIRMED_PDL
2011-12-19_tha,tha,no_bg,4.6,
2011-12-19_thd,thd,no_bg,0.83,
2011-12-19_the,the,no_bg,0.83,
2011-12-20_tha,tha,no_bg,0.34,
2011-12-20_thd,thd,no_bg,0.82,
2011-12-20_the,the,no_bg,-2.24,
2011-12-21_tha,tha,no_sheath,-2.19,
2011-12-21_thd,thd,no_sheath,-2.18,
2011-12-21_the,the,no_bg,-2.19,
2011-12-22_tha,tha,no_bg,-1.42,
2011-12-22_thd,thd,no_bg,-1.88,
2011-12-22_the,the,no_bg,-1.94,
2011-12-23_tha,tha,no_sheath,-0.19,
2011-12-23_thd,thd,no_sheath,-0.52,
2011-12-23_the,the,no_sheath,-0.57,
2011-12-24_tha,tha,no_sheath,0.93,
2011-12-24_thd,thd,no_sheath,0.96,
2011-12-24_the,the,no_sheath,0.94,
2011-12-25_tha,tha,no_sheath,-2.48,
2011-12-25_thd,thd,no_sheath,-2.31,
2011-12-25_the,the,no_sheath,-2.3,
2011-12-26_tha,tha,no_sheath,1.56,
2011-12-26_thd,thd,no_sheath,1.66,
2011-12-26_the,the,no_sheath,1.67,
2011-12-27_tha,tha,no_sheath,0.43,
2011-12-27_thd,thd,no_sheath,0.28,
2011-12-27_the,the,no_sheath,0.28,
2011-12-28_tha,tha,no_sheath,5.18,
2011-12-28_thd,thd,no_sheath,5.18,
2011-12-28_the,the,no_sheath,5.18,
2011-12-29_tha,tha,no_bg,-0.09,
2011-12-29_thd,thd,no_bg,2.43,
2011-12-29_the,the,no_bg,2.35,
2011-12-30_tha,tha,no_bg,0.72,
2011-12-30_thd,thd,no_bg,0.42,
2011-12-30_the,the,no_bg,0.39,
2011-12-31_tha,tha,no_bg,-0.74,
2011-12-31_thd,thd,no_bg,-0.92,
2011-12-31_the,the,no_bg,-0.88,
2012-01-01_tha,tha,no_bg,-0.37,
2012-01-01_thd,thd,no_sheath,-0.55,
2012-01-01_the,the,no_bg,-0.55,
2012-01-02_tha,tha,no_sheath,1.86,
2012-01-02_thd,thd,no_sheath,2.4,
2012-01-02_the,the,no_sheath,2.4,
2012-01-03_tha,tha,no_bg,-4.43,
2012-01-03_thd,thd,no_bg,-4.38,
2012-01-03_the,the,no_bg,-4.37,
2012-01-04_tha,tha,no_sheath,0.99,
2012-01-04_thd,thd,no_sheath,0.39,
2012-01-04_the,the,no_sheath,0.46,
2012-01-06_tha,tha,no_bg,4.49,
2012-01-06_thd,thd,no_bg,5.47,
2012-01-06_the,the,no_bg,5.44,
2012-01-07_tha,tha,no_sheath,-0.78,
2012-01-07_thd,thd,no_sheath,-0.86,
2012-01-07_the,the,no_bg,-0.85,
2012-01-08_tha,tha,no_sheath,-1.73,
2012-01-08_thd,thd,no_sheath,-1.99,
2012-01-08_the,the,no_sheath,-1.88,
2012-01-09_tha,tha,no_bg,-2.33,
2012-01-09_thd,thd,no_bg,-1.93,
2012-01-09_the,the,no_bg,-2.13,
2012-01-10_thd,thd,no_sheath,0.52,
2012-01-10_the,the,no_sheath,0.33,
2012-01-11_tha,tha,no_sheath,-1.15,
2012-01-11_thd,thd,no_sheath,-1.37,
2012-01-11_the,the,no_sheath,-1.39,
2012-01-12_tha,tha,no_sheath,-0.02,
2012-01-12_thd,thd,no_sheath,-0.2,
2012-01-12_the,the,no_sheath,-0.14,
2012-01-13_tha,tha,no_bg,0.65,
2012-01-13_thd,thd,no_bg,1.38,
2012-01-13_the,the,no_bg,0.82,
2012-01-14_tha,tha,no_sheath,-0.57,
2012-01-14_thd,thd,no_sheath,-0.79,
2012-01-14_the,the,no_sheath,-0.77,
2012-01-15_tha,tha,no_sheath,-1.45,
2012-01-15_thd,thd,no_sheath,-1.36,
2012-01-15_the,the,no_sheath,-1.42,
2012-01-16_tha,tha,no_sheath,-0.1,
2012-01-16_thd,thd,no_sheath,0.1,
2012-01-16_the,the,no_bg,-0.07,
2012-01-17_tha,tha,no_sheath,-0.9,
2012-01-17_thd,thd,no_sheath,-1.66,
2012-01-17_the,the,no_sheath,-1.54,
2012-01-18_tha,tha,no_sheath,-0.51,
2012-01-18_thd,thd,no_sheath,-0.67,
2012-01-18_the,the,no_sheath,-0.66,
2012-01-19_tha,tha,no_sheath,0.26,
2012-01-19_thd,thd,no_sheath,0.15,
2012-01-19_the,the,no_sheath,0.21,
2012-01-20_tha,tha,no_sheath,-2.12,
2012-01-20_thd,thd,no_sheath,-2.0,
2012-01-20_the,the,no_sheath,-2.12,
2012-01-21_tha,tha,no_sheath,-3.79,
2012-01-21_thd,thd,no_sheath,-3.49,
2012-01-21_the,the,no_sheath,-3.49,
2012-01-22_tha,tha,no_sheath,9.96,
2012-01-22_thd,thd,no_sheath,9.64,
2012-01-22_the,the,no_sheath,9.78,
2012-01-23_tha,tha,no_bg,-5.68,
2012-01-23_thd,thd,no_bg,-6.9,
2012-01-23_the,the,no_bg,-6.62,
2012-01-24_tha,tha,no_sheath,-5.24,
2012-01-24_thd,thd,no_sheath,-5.24,
2012-01-24_the,the,no_sheath,-5.24,
2012-01-25_tha,tha,no_bg,0.57,
2012-01-25_thd,thd,no_bg,0.19,
2012-01-25_the,the,no_bg,0.36,
2012-01-26_tha,tha,no_sheath,0.04,
2012-01-26_thd,thd,no_sheath,-0.03,
2012-01-26_the,the,no_sheath,-0.0,
2012-01-27_thd,thd,no_sheath,0.44,
2012-01-27_the,the,no_sheath,0.43,
2012-01-28_thd,thd,no_sheath,0.56,
2012-01-28_the,the,no_sheath,0.56,
2012-01-29_thd,thd,no_sheath,-2.63,
2012-01-29_the,the,no_sheath,-2.7,
2012-01-30_thd,thd,no_sheath,2.1,
2012-01-30_the,the,no_sheath,2.1,
2012-01-31_thd,thd,no_bg,1.73,
2012-01-31_the,the,no_bg,2.09,
2012-02-01_thd,thd,no_sheath,2.05,
2012-02-01_the,the,no_sheath,1.99,
2012-02-02_the,the,no_bg,0.69,
2012-02-03_the,the,no_sheath,-2.32,
2012-11-18_thd,thd,no_sheath,-1.27,
2012-11-19_thd,thd,no_sheath,-0.53,
2012-11-20_thd,thd,no_sheath,-3.59,
2012-11-21_thd,thd,no_sheath,-2.17,
2012-11-21_the,the,no_sheath,-1.02,
2012-11-22_thd,thd,no_sheath,-0.27,
2012-11-22_the,the,no_sheath,-0.44,
2012-11-23_thd,thd,no_sheath,-2.66,
2012-11-23_the,the,no_sheath,-2.62,
2012-11-24_thd,thd,no_sheath,0.44,
2012-11-24_the,the,no_sheath,1.76,
2012-11-25_thd,thd,no_sheath,8.72,
2012-11-25_the,the,no_sheath,7.99,
2012-11-26_thd,thd,no_bg,3.25,
2012-11-26_the,the,no_bg,5.44,
2012-11-27_thd,thd,no_sheath,0.49,
2012-11-27_the,the,no_sheath,-0.51,
2012-11-28_tha,tha,no_sheath,0.85,
2012-11-28_thd,thd,no_sheath,1.12,
2012-11-28_the,the,no_sheath,1.16,
2012-11-29_tha,tha,no_sheath,-1.14,
2012-11-29_thd,thd,no_sheath,-1.7,
2012-11-29_the,the,no_sheath,-1.9,
2012-11-30_tha,tha,no_sheath,-1.0,
2012-11-30_thd,thd,no_sheath,-0.07,
2012-11-30_the,the,no_sheath,-0.08,
2012-12-01_tha,tha,no_sheath,2.7,
2012-12-01_thd,thd,no_sheath,-0.39,
2012-12-01_the,the,no_sheath,0.22,
2012-12-02_tha,tha,no_bg,-0.18,
2012-12-02_thd,thd,no_bg,-1.28,
2012-12-02_the,the,no_bg,-1.13,
2012-12-03_tha,tha,no_sheath,-0.22,
2012-12-03_thd,thd,no_sheath,1.13,
2012-12-03_the,the,no_sheath,0.19,
2012-12-04_tha,tha,no_sheath,-1.47,
2012-12-04_thd,thd,no_sheath,1.0,
2012-12-04_the,the,no_sheath,0.0,
2012-12-05_tha,tha,no_sheath,0.9,
2012-12-05_thd,thd,no_sheath,-0.13,
2012-12-05_the,the,no_sheath,0.96,
2012-12-06_tha,tha,no_sheath,0.31,
2012-12-06_thd,thd,no_sheath,-0.45,
2012-12-06_the,the,no_sheath,1.11,
2012-12-07_tha,tha,no_sheath,1.65,
2012-12-07_thd,thd,no_sheath,-0.87,
2012-12-07_the,the,no_sheath,-0.53,
2012-12-08_tha,tha,no_sheath,-0.03,
2012-12-08_thd,thd,no_sheath,1.57,
2012-12-08_the,the,no_sheath,0.67,
2012-12-09_tha,tha,no_bg,1.52,
2012-12-09_thd,thd,no_bg,-4.24,
2012-12-09_the,the,no_sheath,-3.69,
2012-12-10_tha,tha,no_sheath,0.38,
2012-12-10_thd,thd,no_sheath,4.48,
2012-12-10_the,the,no_sheath,1.6,
2012-12-11_tha,tha,no_sheath,-0.42,
2012-12-11_thd,thd,no_sheath,2.43,
2012-12-11_the,the,no_sheath,2.42,
2012-12-12_tha,tha,no_sheath,-2.64,
2012-12-12_thd,thd,no_sheath,-0.91,
2012-12-12_the,the,no_sheath,-0.63,
2012-12-13_tha,tha,no_bg,-1.77,
2012-12-13_thd,thd,no_sheath,0.98,
2012-12-13_the,the,no_bg,-1.1,
2012-12-14_tha,tha,no_bg,-1.94,
2012-12-14_thd,thd,no_sheath,1.37,
2012-12-14_the,the,no_sheath,1.0,
2012-12-15_tha,tha,no_bg,-2.09,
2012-12-15_thd,thd,no_bg,-5.3,
2012-12-15_the,the,no_bg,-3.02,
2012-12-16_tha,tha,no_bg,1.24,
2012-12-16_thd,thd,no_sheath,-2.73,
2012-12-16_the,the,no_sheath,-1.73,
2012-12-17_tha,tha,no_bg,2.91,
2012-12-17_thd,thd,no_bg,-2.0,
2012-12-17_the,the,no_bg,-1.26,
2012-12-18_tha,tha,no_sheath,1.95,
2012-12-18_thd,thd,no_bg,1.47,
2012-12-18_the,the,no_bg,0.2,
2012-12-19_tha,tha,no_bg,1.49,
2012-12-19_thd,thd,no_bg,0.67,
2012-12-19_the,the,no_bg,1.9,
2012-12-20_tha,tha,no_bg,-2.16,
2012-12-20_thd,thd,no_bg,-1.64,
2012-12-20_the,the,no_bg,-2.74,
2012-12-21_tha,tha,no_sheath,0.6,
2012-12-21_thd,thd,no_sheath,-0.2,
2012-12-21_the,the,no_sheath,0.73,
2012-12-22_tha,tha,no_sheath,0.15,
2012-12-22_thd,thd,no_sheath,-0.53,
2012-12-22_the,the,no_sheath,-0.3,
2012-12-23_tha,tha,no_bg,-2.48,
2012-12-23_thd,thd,no_bg,0.69,
2012-12-23_the,the,no_bg,-1.61,
2012-12-24_tha,tha,no_bg,0.71,
2012-12-24_thd,thd,no_bg,1.76,
2012-12-24_the,the,no_bg,2.25,
2012-12-25_tha,tha,no_bg,-0.1,
2012-12-25_thd,thd,no_bg,1.39,
2012-12-25_the,the,no_bg,0.75,
2012-12-26_tha,tha,no_bg,0.27,
2012-12-26_thd,thd,no_bg,-1.67,
2012-12-26_the,the,no_bg,-0.97,
2012-12-27_tha,tha,no_bg,-0.04,
2012-12-27_thd,thd,no_bg,1.15,
2012-12-27_the,the,no_bg,1.15,
2012-12-28_tha,tha,no_bg,0.05,
2012-12-28_thd,thd,no_bg,0.64,
2012-12-28_the,the,no_bg,0.45,
2012-12-29_tha,tha,no_bg,0.52,
2012-12-29_thd,thd,no_bg,-1.31,
2012-12-29_the,the,no_bg,-1.78,
2012-12-30_tha,tha,contrib,1.88,AMBIGUOUS
2012-12-30_thd,thd,no_bg,0.3,
2012-12-30_the,the,no_bg,0.9,
2012-12-31_tha,tha,no_sheath,0.36,
2012-12-31_thd,thd,no_sheath,-0.06,
2012-12-31_the,the,no_sheath,0.06,
2013-01-01_tha,tha,no_sheath,0.59,
2013-01-01_thd,thd,no_sheath,-0.2,
2013-01-01_the,the,no_sheath,0.23,
2013-01-02_tha,tha,no_bg,-1.72,
2013-01-02_thd,thd,no_sheath,0.75,
2013-01-02_the,the,no_sheath,0.72,
2013-01-03_tha,tha,no_bg,1.22,
2013-01-03_thd,thd,no_bg,0.48,
2013-01-03_the,the,no_bg,0.96,
2013-01-04_tha,tha,no_bg,2.1,
2013-01-04_thd,thd,no_bg,-0.6,
2013-01-04_the,the,no_bg,0.39,
2013-01-05_tha,tha,no_bg,-0.06,
2013-01-05_thd,thd,no_bg,0.6,
2013-01-05_the,the,no_bg,-0.12,
2013-01-06_tha,tha,no_bg,0.63,
2013-01-06_thd,thd,no_bg,1.09,
2013-01-06_the,the,no_bg,0.36,
2013-01-07_tha,tha,no_bg,-0.2,
2013-01-07_thd,thd,no_bg,0.56,
2013-01-07_the,the,no_bg,0.18,
