eid,probe,stage,bz,cls
2007-08-31_thb,thb,no_bg,0.46,
2007-08-31_thc,thc,no_bg,0.9,
2007-08-31_thd,thd,no_bg,1.0,
2007-08-31_the,the,no_bg,1.03,
2007-09-01_tha,tha,no_sheath,-1.81,
2007-09-01_thb,thb,no_sheath,-1.51,
2007-09-01_thc,thc,no_sheath,-1.65,
2007-09-01_thd,thd,no_sheath,-1.75,
2007-09-01_the,the,no_sheath,-1.78,
2007-09-02_tha,tha,no_bg,-1.08,
2007-09-02_thb,thb,no_bg,0.12,
2007-09-02_thc,thc,no_bg,-0.31,
2007-09-02_thd,thd,no_bg,-0.51,
2007-09-02_the,the,no_bg,-0.51,
2007-09-03_thb,thb,no_bg,0.38,
2007-09-03_thd,thd,no_bg,0.39,
2007-09-04_thc,thc,contrib,-1.21,AMBIGUOUS
2007-09-04_thd,thd,contrib,-1.21,AMBIGUOUS
2007-09-05_tha,tha,no_bg,-2.41,
2007-09-05_thc,thc,no_bg,-2.57,
2007-09-05_thd,thd,no_bg,-2.49,
2007-09-06_tha,tha,no_bg,-3.14,
2007-09-06_thb,thb,no_bg,-2.17,
2007-09-06_thc,thc,no_bg,-2.17,
2007-09-06_thd,thd,no_bg,-2.17,
2007-09-07_thb,thb,no_bg,0.04,
2007-09-07_thc,thc,no_sheath,-0.11,
2007-09-07_thd,thd,no_sheath,0.22,
2007-09-08_thb,thb,no_bg,0.37,
2007-09-08_thc,thc,no_bg,0.37,
2007-09-08_thd,thd,no_sheath,0.37,
2007-09-08_the,the,no_bg,0.37,
2007-09-09_thb,thb,no_sheath,0.55,
2007-09-09_thc,thc,no_sheath,0.57,
2007-09-09_thd,thd,no_sheath,0.49,
2007-09-09_the,the,no_sheath,0.54,
2007-09-10_tha,tha,no_sheath,-1.52,
2007-09-10_thb,thb,no_sheath,-1.48,
2007-09-10_thc,thc,no_sheath,-1.39,
2007-09-10_thd,thd,no_sheath,-1.63,
2007-09-10_the,the,no_sheath,-1.53,
2007-09-11_tha,tha,no_sheath,-1.91,
2007-09-11_thb,thb,no_sheath,-1.89,
2007-09-11_thc,thc,no_sheath,-1.78,
2007-09-12_thc,thc,no_sheath,-0.87,
2007-09-12_thd,thd,no_sheath,-0.87,
2007-09-12_the,the,no_sheath,-0.87,
2007-09-13_thc,thc,no_sheath,-0.73,
2007-09-13_thd,thd,no_sheath,-0.1,
2007-09-13_the,the,no_sheath,-0.41,
2007-09-14_tha,tha,no_sheath,1.12,
2007-09-14_thc,thc,no_sheath,2.13,
2007-09-14_thd,thd,no_sheath,1.13,
2007-09-14_the,the,no_sheath,1.69,
2007-09-15_thb,thb,no_sheath,2.67,
2007-09-15_thc,thc,no_sheath,2.78,
2007-09-15_thd,thd,no_sheath,1.22,
2007-09-15_the,the,no_sheath,1.01,
2007-09-16_thb,thb,no_sheath,1.38,
2007-09-16_thc,thc,no_sheath,1.42,
2007-09-16_thd,thd,no_sheath,1.38,
2007-09-17_thb,thb,no_sheath,1.14,
