eid,grp,north,n_sw,v_sw,ratio_bg,ratio_near,ratio_v
2007-08-08_tha,NONCAND,True,2.0899999141693115,518.6499938964844,2.766515763290268,0.26315790554403073,0.28900929401923126
2007-08-09_tha,REJ,True,5.949999809265137,388.1000061035156,4.214526399709442,3.5882354091431248,0.25386382335001223
2007-08-10_tha,NONCAND,True,5.96999979019165,387.25,4.200506437821032,4.97152446282535,0.25444491776133293
2007-08-11_tha,NONCAND,False,3.140000104904175,557.25,3.433731292399497,1.885350255483722,0.27620760343063033
2007-08-11_thb,NONCAND,True,3.2300000190734863,556.9000244140625,3.3524923451397526,3.0030959574986036,0.2657925582924624
2007-08-11_thc,NONCAND,True,3.200000047683716,557.0999755859375,3.9171668303435023,0.29062499566935013,0.2749768666777832
2007-08-11_thd,NONCAND,True,3.1500000953674316,557.2000122070312,3.6342427500696712,0.2317460247298339,0.2709942530340946
2007-08-12_thc,NONCAND,False,3.5899999141693115,454.6000061035156,3.5485759935330785,4.87186641174252,0.25386548152488264
2007-08-13_thb,NONCAND,True,4.239999771118164,354.3999938964844,2.9696494257035937,0.39858492717661553,0.17074009390699837
2007-08-13_thc,NONCAND,True,4.329999923706055,353.1000061035156,3.5681040205412202,5.757505875118438,0.1491571723091919
2007-08-15_tha,NONCAND,False,5.130000114440918,421.1499938964844,4.153442290156798,0.27680311273341085,0.2417006443292339
2007-08-15_thc,NONCAND,False,6.989999771118164,386.79998779296875,2.772984438599608,0.3376251898821564,0.23072810541219954
2007-08-15_thd,NONCAND,False,6.56000018119812,390.0500030517578,2.76510358941705,0.3216463325790075,0.23049497038942127
2007-08-15_the,NONCAND,False,6.56000018119812,390.0500030517578,2.8356490282353373,0.2987804795520638,0.24568767572986439
2007-08-16_thb,NONCAND,True,6.610000133514404,442.1000061035156,3.191292852672831,0.7216338734722364,0.23263321343742582
2007-08-16_thd,REJ,True,6.590000152587891,440.70001220703125,3.448743841637391,2.0773899367246513,0.23394996682330094
2007-08-16_the,NONCAND,True,6.590000152587891,440.70001220703125,3.406952068532569,0.29286797500939205,0.2532240639718222
2007-08-17_tha,NONCAND,True,5.419999837875366,389.70001220703125,3.1904242649944288,0.21217712811792233,0.18864592640855024
2007-08-17_thb,NONCAND,True,4.809999942779541,395.79998779296875,3.112569159976489,0.513513519622345,0.15660430519923013
2007-08-17_thc,REJ,True,4.989999771118164,395.79998779296875,3.4704089562062794,2.0080161241680194,0.1850994103584281
2007-08-19_tha,NONCAND,True,6.269999980926514,367.1000061035156,3.4256775517613582,3.3285486544636407,0.20675274352690257
2007-08-19_thb,REJ,True,6.28000020980835,367.6000061035156,3.4627573107751908,1.6480891169135576,0.19265123697056755
2007-08-19_thc,REJ,True,6.25,367.5,3.546275634765625,1.9568,0.18415724566193664
2007-08-19_thd,A,True,6.190000057220459,367.5,3.2405048742540368,2.200323081437238,0.18645790774806018
2007-08-19_the,A,True,6.190000057220459,367.5,3.0997433167883424,2.418416778936524,0.19706367959781568
2007-08-21_thb,BORD,True,8.779999732971191,319.79998779296875,4.6623035884332555,3.6036447565235723,0.28303529150968115
2007-08-21_thc,REJ,True,8.609999656677246,319.6000061035156,5.437383303654234,4.68060413553518,0.23062553967939164
2007-08-21_thd,REJ,True,8.520000457763672,319.70001220703125,5.216893063564404,4.449530277366981,0.25193233440849644
2007-08-21_the,NONCAND,True,8.515000343322754,319.70001220703125,4.9340784275294345,4.588373273600358,0.2880429708865943
2007-08-22_thb,BORD,True,6.630000114440918,320.5,4.399707194659884,2.8129712938282023,0.2272633092823713
2007-08-22_thc,BORD,True,6.670000076293945,320.5,4.738164215566424,3.5682158512393904,0.23254355253555845
2007-08-22_the,A,True,6.5950000286102295,320.29998779296875,4.483904034624379,1.801364662390075,0.24197907168629873
